AUID,Last,First,Ethnea,Genni,PubCountry
9101846_1,_Chikh_Torab_,_Fawaz_,ARAB,M,UnitedArabEmirates
11401346_2,_Seok_Cho_,_Min_Seok_,KOREAN,M,Korea
11726050_3,_Cho_,_Min_Hyoung_,KOREAN,-,Korea
9205867_1,_Sun_Cho_,_Min_Sun_,CHINESE,F,Korea
15958875_3,_Chokesuwattanaskul_,_Warangkana_,THAI,-,USA
8572488_4,_Choquet_Kastylevsky_,_Genevieve_,FRENCH,F,France
11026188_1,_Hopfer_,_Christian_,GERMAN,M,USA
16109519_3,_Chu_,_Kai_Jian_,CHINESE,M,China
8014031_4,_Jin_Chun_,_Young_,KOREAN,-,Korea
10359906_1,_Lee_Chung_,_Hai_Lee_,CHINESE,M,Korea
6926997_1,_Chused_,_Judith_Fingert_,ENGLISH,F,USA
6634509_3,_Mykala_Ciesla_,_Joanna_,SLAV,F,Poland
10072210_2,_Cimen_,_Burak_,TURKISH,M,Turkey
3848799_2,_Cirgin_Ellett_,_Marsha_,ENGLISH,F,USA
9648124_3,_Pacchierotti_,_Claudia_,ITALIAN,F,Italy
1202415_1,_Coadwell_,_John_,ENGLISH,M,UK
12071647_1,_Abdulkadir_Coban_,_Taha_,AFRICAN,M,Turkey
7745605_4,_Contreras_Rodriguez_,_Julio_,HISPANIC,M,Spain
1681435_2,_Copin_,_Jean_Christophe_,FRENCH,M,USA
4685086_1,_Sergio_Cordeiro_da_Rocha_,_Antonio_,HISPANIC,M,Brazil
9264656_3,_Aurelio_Cordero_Guevara_,_Jose_,HISPANIC,M,Spain
11352966_4,_Lohse_,_cornelia_,GERMAN,F,Switzerland
3729882_1,_Poppe_,_Cornelius_,GERMAN,M,Canada
6423989_3,_Schule_,_Cornelius_,GERMAN,M,Germany
6164252_2,_Joao_Correia_,_Maria_,HISPANIC,F,Portugal
1983306_5,_Cortes_Barberena_,_Edith_,HISPANIC,F,Mexico
3613749_2,_Enrique_Corzo_Delgado_,_Juan_,HISPANIC,M,Spain
18041535_4,_Enoia_da_Costa_Silva_,_Maria_,HISPANIC,F,Brazil
317943_5,_Costerbosa_,_Giovanna_Lalatta_,ITALIAN,F,Italy
9322766_4,_Suarez_Covarrubias_,_Adrian_,HISPANIC,M,Sweden
923585_1,_Cremers_,_Alfons_,DUTCH,M,Netherlands
14569363_1,_Crusoe_Rebello_,_Ieda_,HISPANIC,F,Brazil
9856963_3,_Jose_De_la_Cruz_Troca_,_Juan_,HISPANIC,M,Spain
9182881_3,_Cruz_,_Soledad_,HISPANIC,F,Spain
12879202_1,_Cui_,_Shuya_,CHINESE,-,China
12046660_3,_Cui_,_Yanshan_,CHINESE,-,China
11930030_2,_Cukierman_Yaffee_,_Tali_,ISRAELI,F,Israel
11421741_8,_Manh_Cuong_,_Nguyen_,VIETNAMESE,M,USA
1843093_2,_Aurelio_D_Assuncao_,_Marco_,HISPANIC,M,Brazil
1339200_1,_Fontenelle_,_Lucia_,HISPANIC,F,Brazil
12432267_1,_Teixeira_da_Costa_,_Luis_,HISPANIC,M,Portugal
10849022_3,_da_Fonseca_Pereira_,_Candida_,HISPANIC,F,Netherlands
11734712_3,_Paixao_,_Antonio_,HISPANIC,M,Brazil
11105119_1,_Aristeu_da_Rosa_,_Joao_,HISPANIC,M,Brazil
7446196_2,_Aniceto_da_Silva_,_Jose_,HISPANIC,M,Portugal
10404538_3,_Sobral_da_Silva_,_Marcelo_,HISPANIC,M,Brazil
18965580_2,_Pilar_da_Silva_,_Ma_,HISPANIC,F,Spain
7660383_4,_da_Silva_,_Nicacio_,HISPANIC,-,Brazil
15962177_1,_da_Silva_,_Tony_,HISPANIC,M,Brazil
16330245_2,_da_Silva_,_Washington_,HISPANIC,M,Brazil
7164094_2,_Weitman_,_Steven_,ENGLISH,M,USA
8521776_1,_van_Dam_,_Rick_,DUTCH,M,Australia
